#,Name,Types,Total,HP,Attack,Defense,Sp.Atk,Sp.Def,Speed,Generation,Legendary
99,Kingler,Water,475,55,130,115,50,50,75,1,0
100,Voltorb,Electric,330,40,30,50,55,55,100,1,0
101,Electrode,Electric,480,60,50,70,80,80,140,1,0
102,Exeggcute,GrassPsychic,325,60,40,80,60,45,40,1,0
103,Exeggutor,GrassPsychic,520,95,95,85,125,65,55,1,0
104,Cubone,Ground,320,50,50,95,40,50,35,1,0
105,Marowak,Ground,425,60,80,110,50,80,45,1,0
106,Hitmonlee,Fighting,455,50,120,53,35,110,87,1,0
107,Hitmonchan,Fighting,455,50,105,79,35,110,76,1,0
108,Lickitung,Normal,385,90,55,75,60,75,30,1,0
109,Koffing,Poison,340,40,65,95,60,45,35,1,0
110,Weezing,Poison,490,65,90,120,85,70,60,1,0
111,Rhyhorn,GroundRock,345,80,85,95,30,30,25,1,0
112,Rhydon,GroundRock,485,105,130,120,45,45,40,1,0
113,Chansey,Normal,450,250,5,5,35,105,50,1,0
114,Tangela,Grass,435,65,55,115,100,40,60,1,0
115,Kangaskhan,Normal,490,105,95,80,40,80,90,1,0
115,Mega-Kangaskhan,Normal,590,105,125,100,60,100,100,1,0
116,Horsea,Water,295,30,40,70,70,25,60,1,0
117,Seadra,Water,440,55,65,95,95,45,85,1,0
118,Goldeen,Water,320,45,67,60,35,50,63,1,0
119,Seaking,Water,450,80,92,65,65,80,68,1,0
120,Staryu,Water,340,30,45,55,70,55,85,1,0
121,Starmie,WaterPsychic,520,60,75,85,100,85,115,1,0
122,Mr.Mime,PsychicFairy,460,40,45,65,100,120,90,1,0
123,Scyther,BugFlying,500,70,110,80,55,80,105,1,0
124,Jynx,IcePsychic,455,65,50,35,115,95,95,1,0
125,Electabuzz,Electric,490,65,83,57,95,85,105,1,0
126,Magmar,Fire,495,65,95,57,100,85,93,1,0
127,Pinsir,Bug,500,65,125,100,55,70,85,1,0
127,Mega-Pinsir,BugFlying,600,65,155,120,65,90,105,1,0
128,Tauros,Normal,490,75,100,95,40,70,110,1,0
129,Magikarp,Water,200,20,10,55,15,20,80,1,0
130,Gyarados,WaterFlying,540,95,125,79,60,100,81,1,0
130,Mega-Gyarados,WaterDark,640,95,155,109,70,130,81,1,0
131,Lapras,WaterIce,535,130,85,80,85,95,60,1,0
132,Ditto,Normal,288,48,48,48,48,48,48,1,0
133,Eevee,Normal,325,55,55,50,45,65,55,1,0
134,Vaporeon,Water,525,130,65,60,110,95,65,1,0
135,Jolteon,Electric,525,65,65,60,110,95,130,1,0
136,Flareon,Fire,525,65,130,60,95,110,65,1,0
137,Porygon,Normal,395,65,60,70,85,75,40,1,0
138,Omanyte,RockWater,355,35,40,100,90,55,35,1,0
139,Omastar,RockWater,495,70,60,125,115,70,55,1,0
140,Kabuto,RockWater,355,30,80,90,55,45,55,1,0
141,Kabutops,RockWater,495,60,115,105,65,70,80,1,0
142,Aerodactyl,RockFlying,515,80,105,65,60,75,130,1,0
142,Mega-Aerodactyl,RockFlying,615,80,135,85,70,95,150,1,0
143,Snorlax,Normal,540,160,110,65,65,110,30,1,0
144,Articuno,IceFlying,580,90,85,100,95,125,85,1,1
145,Zapdos,ElectricFlying,580,90,90,85,125,90,100,1,1
146,Moltres,FireFlying,580,90,100,90,125,85,90,1,1
147,Dratini,Dragon,300,41,64,45,50,50,50,1,0
148,Dragonair,Dragon,420,61,84,65,70,70,70,1,0
149,Dragonite,DragonFlying,600,91,134,95,100,100,80,1,0
150,Mewtwo,Psychic,680,106,110,90,154,90,130,1,1
150,Mega-Mewtwo X,PsychicFighting,780,106,190,100,154,100,130,1,1
150,Mega-Mewtwo Y,Psychic,780,106,150,70,194,120,140,1,1
151,Mew,Psychic,600,100,100,100,100,100,100,1,0
152,Chikorita,Grass,318,45,49,65,49,65,45,2,0
153,Bayleef,Grass,405,60,62,80,63,80,60,2,0
154,Meganium,Grass,525,80,82,100,83,100,80,2,0
155,Cyndaquil,Fire,309,39,52,43,60,50,65,2,0
156,Quilava,Fire,405,58,64,58,80,65,80,2,0
157,Typhlosion,Fire,534,78,84,78,109,85,100,2,0
158,Totodile,Water,314,50,65,64,44,48,43,2,0
159,Croconaw,Water,405,65,80,80,59,63,58,2,0
160,Feraligatr,Water,530,85,105,100,79,83,78,2,0
161,Sentret,Normal,215,35,46,34,35,45,20,2,0
162,Furret,Normal,415,85,76,64,45,55,90,2,0
163,Hoothoot,NormalFlying,262,60,30,30,36,56,50,2,0
164,Noctowl,NormalFlying,442,100,50,50,76,96,70,2,0
165,Ledyba,BugFlying,265,40,20,30,40,80,55,2,0
166,Ledian,BugFlying,390,55,35,50,55,110,85,2,0
167,Spinarak,BugPoison,250,40,60,40,40,40,30,2,0
168,Ariados,BugPoison,390,70,90,70,60,60,40,2,0
169,Crobat,PoisonFlying,535,85,90,80,70,80,130,2,0
170,Chinchou,WaterElectric,330,75,38,38,56,56,67,2,0
171,Lanturn,WaterElectric,460,125,58,58,76,76,67,2,0
172,Pichu,Electric,205,20,40,15,35,35,60,2,0
173,Cleffa,Fairy,218,50,25,28,45,55,15,2,0
174,Igglybuff,NormalFairy,210,90,30,15,40,20,15,2,0
175,Togepi,Fairy,245,35,20,65,40,65,20,2,0
176,Togetic,FairyFlying,405,55,40,85,80,105,40,2,0
177,Natu,PsychicFlying,320,40,50,45,70,45,70,2,0
178,Xatu,PsychicFlying,470,65,75,70,95,70,95,2,0
179,Mareep,Electric,280,55,40,40,65,45,35,2,0
180,Flaaffy,Electric,365,70,55,55,80,60,45,2,0
181,Ampharos,Electric,510,90,75,85,115,90,55,2,0
181,Mega-Ampharos,ElectricDragon,610,90,95,105,165,110,45,2,0
182,Bellossom,Grass,490,75,80,95,90,100,50,2,0
183,Marill,WaterFairy,250,70,20,50,20,50,40,2,0
184,Azumarill,WaterFairy,420,100,50,80,60,80,50,2,0
185,Sudowoodo,Rock,410,70,100,115,30,65,30,2,0
186,Politoed,Water,500,90,75,75,90,100,70,2,0
187,Hoppip,GrassFlying,250,35,35,40,35,55,50,2,0
188,Skiploom,GrassFlying,340,55,45,50,45,65,80,2,0
189,Jumpluff,GrassFlying,460,75,55,70,55,95,110,2,0
190,Aipom,Normal,360,55,70,55,40,55,85,2,0
191,Sunkern,Grass,180,30,30,30,30,30,30,2,0
192,Sunflora,Grass,425,75,75,55,105,85,30,2,0
193,Yanma,BugFlying,390,65,65,45,75,45,95,2,0
194,Wooper,WaterGround,210,55,45,45,25,25,15,2,0
195,Quagsire,WaterGround,430,95,85,85,65,65,35,2,0
196,Espeon,Psychic,525,65,65,60,130,95,110,2,0
197,Umbreon,Dark,525,95,65,110,60,130,65,2,0
198,Murkrow,DarkFlying,405,60,85,42,85,42,91,2,0
199,Slowking,WaterPsychic,490,95,75,80,100,110,30,2,0
200,Misdreavus,Ghost,435,60,60,60,85,85,85,2,0
201,Unown,Psychic,336,48,72,48,72,48,48,2,0
202,Wobbuffet,Psychic,405,190,33,58,33,58,33,2,0
203,Girafarig,NormalPsychic,455,70,80,65,90,65,85,2,0
204,Pineco,Bug,290,50,65,90,35,35,15,2,0
205,Forretress,BugSteel,465,75,90,140,60,60,40,2,0
206,Dunsparce,Normal,415,100,70,70,65,65,45,2,0
207,Gligar,GroundFlying,430,65,75,105,35,65,85,2,0
208,Steelix,SteelGround,510,75,85,200,55,65,30,2,0
208,Mega-Steelix,SteelGround,610,75,125,230,55,95,30,2,0
209,Snubbull,Fairy,300,60,80,50,40,40,30,2,0
210,Granbull,Fairy,450,90,120,75,60,60,45,2,0
211,Qwilfish,WaterPoison,430,65,95,75,55,55,85,2,0
212,Scizor,BugSteel,500,70,130,100,55,80,65,2,0
212,Mega-Scizor,BugSteel,600,70,150,140,65,100,75,2,0
213,Shuckle,BugRock,505,20,10,230,10,230,5,2,0
214,Heracross,BugFighting,500,80,125,75,40,95,85,2,0
214,Mega-Heracross,BugFighting,600,80,185,115,40,105,75,2,0
215,Sneasel,DarkIce,430,55,95,55,35,75,115,2,0
216,Teddiursa,Normal,330,60,80,50,50,50,40,2,0
217,Ursaring,Normal,500,90,130,75,75,75,55,2,0
218,Slugma,Fire,250,40,40,40,70,40,20,2,0
219,Magcargo,FireRock,410,50,50,120,80,80,30,2,0
220,Swinub,IceGround,250,50,50,40,30,30,50,2,0
221,Piloswine,IceGround,450,100,100,80,60,60,50,2,0
222,Corsola,WaterRock,380,55,55,85,65,85,35,2,0
223,Remoraid,Water,300,35,65,35,65,35,65,2,0
224,Octillery,Water,480,75,105,75,105,75,45,2,0
225,Delibird,IceFlying,330,45,55,45,65,45,75,2,0
226,Mantine,WaterFlying,465,65,40,70,80,140,70,2,0
227,Skarmory,SteelFlying,465,65,80,140,40,70,70,2,0
228,Houndour,DarkFire,330,45,60,30,80,50,65,2,0
229,Houndoom,DarkFire,500,75,90,50,110,80,95,2,0
229,Mega-Houndoom,DarkFire,600,75,90,90,140,90,115,2,0
230,Kingdra,WaterDragon,540,75,95,95,95,95,85,2,0
231,Phanpy,Ground,330,90,60,60,40,40,40,2,0
232,Donphan,Ground,500,90,120,120,60,60,50,2,0
233,Porygon2,Normal,515,85,80,90,105,95,60,2,0
234,Stantler,Normal,465,73,95,62,85,65,85,2,0
235,Smeargle,Normal,250,55,20,35,20,45,75,2,0
236,Tyrogue,Fighting,210,35,35,35,35,35,35,2,0
237,Hitmontop,Fighting,455,50,95,95,35,110,70,2,0
238,Smoochum,IcePsychic,305,45,30,15,85,65,65,2,0
239,Elekid,Electric,360,45,63,37,65,55,95,2,0
240,Magby,Fire,365,45,75,37,70,55,83,2,0
241,Miltank,Normal,490,95,80,105,40,70,100,2,0
242,Blissey,Normal,540,255,10,10,75,135,55,2,0
243,Raikou,Electric,580,90,85,75,115,100,115,2,1
244,Entei,Fire,580,115,115,85,90,75,100,2,1
245,Suicune,Water,580,100,75,115,90,115,85,2,1
246,Larvitar,RockGround,300,50,64,50,45,50,41,2,0
247,Pupitar,RockGround,410,70,84,70,65,70,51,2,0
248,Tyranitar,RockDark,600,100,134,110,95,100,61,2,0
248,Mega-Tyranitar,RockDark,700,100,164,150,95,120,71,2,0
249,Lugia,PsychicFlying,680,106,90,130,90,154,110,2,1
250,Ho-oh,FireFlying,680,106,130,90,110,154,90,2,1
251,Celebi,PsychicGrass,600,100,100,100,100,100,100,2,0
252,Treecko,Grass,310,40,45,35,65,55,70,3,0
253,Grovyle,Grass,405,50,65,45,85,65,95,3,0
254,Sceptile,Grass,530,70,85,65,105,85,120,3,0
254,Mega-Sceptile,GrassDragon,630,70,110,75,145,85,145,3,0
255,Torchic,Fire,310,45,60,40,70,50,45,3,0
256,Combusken,FireFighting,405,60,85,60,85,60,55,3,0
257,Blaziken,FireFighting,530,80,120,70,110,70,80,3,0
257,Mega-Blaziken,FireFighting,630,80,160,80,130,80,100,3,0
258,Mudkip,Water,310,50,70,50,50,50,40,3,0
259,Marshtomp,WaterGround,405,70,85,70,60,70,50,3,0
260,Swampert,WaterGround,535,100,110,90,85,90,60,3,0
260,Mega-Swampert,WaterGround,635,100,150,110,95,110,70,3,0
261,Poochyena,Dark,220,35,55,35,30,30,35,3,0
262,Mightyena,Dark,420,70,90,70,60,60,70,3,0
263,Zigzagoon,Normal,240,38,30,41,30,41,60,3,0
264,Linoone,Normal,420,78,70,61,50,61,100,3,0
265,Wurmple,Bug,195,45,45,35,20,30,20,3,0
266,Silcoon,Bug,205,50,35,55,25,25,15,3,0
267,Beautifly,BugFlying,395,60,70,50,100,50,65,3,0
268,Cascoon,Bug,205,50,35,55,25,25,15,3,0
269,Dustox,BugPoison,385,60,50,70,50,90,65,3,0
270,Lotad,WaterGrass,220,40,30,30,40,50,30,3,0
271,Lombre,WaterGrass,340,60,50,50,60,70,50,3,0
272,Ludicolo,WaterGrass,480,80,70,70,90,100,70,3,0
273,Seedot,Grass,220,40,40,50,30,30,30,3,0
274,Nuzleaf,GrassDark,340,70,70,40,60,40,60,3,0
275,Shiftry,GrassDark,480,90,100,60,90,60,80,3,0
276,Taillow,NormalFlying,270,40,55,30,30,30,85,3,0
277,Swellow,NormalFlying,430,60,85,60,50,50,125,3,0
278,Wingull,WaterFlying,270,40,30,30,55,30,85,3,0
279,Pelipper,WaterFlying,430,60,50,100,85,70,65,3,0
280,Ralts,PsychicFairy,198,28,25,25,45,35,40,3,0
281,Kirlia,PsychicFairy,278,38,35,35,65,55,50,3,0
282,Gardevoir,PsychicFairy,518,68,65,65,125,115,80,3,0
282,Mega-Gardevoir,PsychicFairy,618,68,85,65,165,135,100,3,0
283,Surskit,BugWater,269,40,30,32,50,52,65,3,0
284,Masquerain,BugFlying,414,70,60,62,80,82,60,3,0
285,Shroomish,Grass,295,60,40,60,40,60,35,3,0
286,Breloom,GrassFighting,460,60,130,80,60,60,70,3,0
287,Slakoth,Normal,280,60,60,60,35,35,30,3,0
288,Vigoroth,Normal,440,80,80,80,55,55,90,3,0
289,Slaking,Normal,670,150,160,100,95,65,100,3,0
290,Nincada,BugGround,266,31,45,90,30,30,40,3,0
291,Ninjask,BugFlying,456,61,90,45,50,50,160,3,0
292,Shedinja,BugGhost,236,1,90,45,30,30,40,3,0
293,Whismur,Normal,240,64,51,23,51,23,28,3,0
294,Loudred,Normal,360,84,71,43,71,43,48,3,0
295,Exploud,Normal,490,104,91,63,91,73,68,3,0
296,Makuhita,Fighting,237,72,60,30,20,30,25,3,0
297,Hariyama,Fighting,474,144,120,60,40,60,50,3,0
298,Azurill,NormalFairy,190,50,20,40,20,40,20,3,0
299,Nosepass,Rock,375,30,45,135,45,90,30,3,0
300,Skitty,Normal,260,50,45,45,35,35,50,3,0
301,Delcatty,Normal,380,70,65,65,55,55,70,3,0
302,Sableye,DarkGhost,380,50,75,75,65,65,50,3,0
302,Mega-Sableye,DarkGhost,480,50,85,125,85,115,20,3,0
303,Mawile,SteelFairy,380,50,85,85,55,55,50,3,0
303,Mega-Mawile,SteelFairy,480,50,105,125,55,95,50,3,0
304,Aron,SteelRock,330,50,70,100,40,40,30,3,0
305,Lairon,SteelRock,430,60,90,140,50,50,40,3,0
306,Aggron,SteelRock,530,70,110,180,60,60,50,3,0
306,Mega-Aggron,Steel,630,70,140,230,60,80,50,3,0
307,Meditite,FightingPsychic,280,30,40,55,40,55,60,3,0
308,Medicham,FightingPsychic,410,60,60,75,60,75,80,3,0
308,Mega-Medicham,FightingPsychic,510,60,100,85,80,85,100,3,0
309,Electrike,Electric,295,40,45,40,65,40,65,3,0
310,Manectric,Electric,475,70,75,60,105,60,105,3,0
310,Mega-Manectric,Electric,575,70,75,80,135,80,135,3,0
311,Plusle,Electric,405,60,50,40,85,75,95,3,0
312,Minun,Electric,405,60,40,50,75,85,95,3,0
313,Volbeat,Bug,400,65,73,55,47,75,85,3,0
314,Illumise,Bug,400,65,47,55,73,75,85,3,0
315,Roselia,GrassPoison,400,50,60,45,100,80,65,3,0
316,Gulpin,Poison,302,70,43,53,43,53,40,3,0
317,Swalot,Poison,467,100,73,83,73,83,55,3,0
318,Carvanha,WaterDark,305,45,90,20,65,20,65,3,0
319,Sharpedo,WaterDark,460,70,120,40,95,40,95,3,0
319,Mega-Sharpedo,WaterDark,560,70,140,70,110,65,105,3,0
320,Wailmer,Water,400,130,70,35,70,35,60,3,0
321,Wailord,Water,500,170,90,45,90,45,60,3,0
322,Numel,FireGround,305,60,60,40,65,45,35,3,0
323,Camerupt,FireGround,460,70,100,70,105,75,40,3,0
323,Mega-Camerupt,FireGround,560,70,120,100,145,105,20,3,0
324,Torkoal,Fire,470,70,85,140,85,70,20,3,0
325,Spoink,Psychic,330,60,25,35,70,80,60,3,0
326,Grumpig,Psychic,470,80,45,65,90,110,80,3,0
327,Spinda,Normal,360,60,60,60,60,60,60,3,0
328,Trapinch,Ground,290,45,100,45,45,45,10,3,0
329,Vibrava,GroundDragon,340,50,70,50,50,50,70,3,0
330,Flygon,GroundDragon,520,80,100,80,80,80,100,3,0
331,Cacnea,Grass,335,50,85,40,85,40,35,3,0
332,Cacturne,GrassDark,475,70,115,60,115,60,55,3,0
333,Swablu,NormalFlying,310,45,40,60,40,75,50,3,0
334,Altaria,DragonFlying,490,75,70,90,70,105,80,3,0
334,Mega-Altaria,DragonFairy,590,75,110,110,110,105,80,3,0
335,Zangoose,Normal,458,73,115,60,60,60,90,3,0
336,Seviper,Poison,458,73,100,60,100,60,65,3,0
337,Lunatone,RockPsychic,440,70,55,65,95,85,70,3,0
338,Solrock,RockPsychic,440,70,95,85,55,65,70,3,0
339,Barboach,WaterGround,288,50,48,43,46,41,60,3,0
340,Whiscash,WaterGround,468,110,78,73,76,71,60,3,0
341,Corphish,Water,308,43,80,65,50,35,35,3,0
342,Crawdaunt,WaterDark,468,63,120,85,90,55,55,3,0
343,Baltoy,GroundPsychic,300,40,40,55,40,70,55,3,0
344,Claydol,GroundPsychic,500,60,70,105,70,120,75,3,0
345,Lileep,RockGrass,355,66,41,77,61,87,23,3,0
346,Cradily,RockGrass,495,86,81,97,81,107,43,3,0
347,Anorith,RockBug,355,45,95,50,40,50,75,3,0
348,Armaldo,RockBug,495,75,125,100,70,80,45,3,0
349,Feebas,Water,200,20,15,20,10,55,80,3,0
350,Milotic,Water,540,95,60,79,100,125,81,3,0
351,Castform,Normal,420,70,70,70,70,70,70,3,0
352,Kecleon,Normal,440,60,90,70,60,120,40,3,0
353,Shuppet,Ghost,295,44,75,35,63,33,45,3,0
354,Banette,Ghost,455,64,115,65,83,63,65,3,0
354,Mega-Banette,Ghost,555,64,165,75,93,83,75,3,0
355,Duskull,Ghost,295,20,40,90,30,90,25,3,0
356,Dusclops,Ghost,455,40,70,130,60,130,25,3,0
357,Tropius,GrassFlying,460,99,68,83,72,87,51,3,0
358,Chimecho,Psychic,425,65,50,70,95,80,65,3,0
359,Absol,Dark,465,65,130,60,75,60,75,3,0
359,Mega-Absol,Dark,565,65,150,60,115,60,115,3,0
360,Wynaut,Psychic,260,95,23,48,23,48,23,3,0
361,Snorunt,Ice,300,50,50,50,50,50,50,3,0
362,Glalie,Ice,480,80,80,80,80,80,80,3,0
362,Mega-Glalie,Ice,580,80,120,80,120,80,100,3,0
363,Spheal,IceWater,290,70,40,50,55,50,25,3,0
364,Sealeo,IceWater,410,90,60,70,75,70,45,3,0
365,Walrein,IceWater,530,110,80,90,95,90,65,3,0
366,Clamperl,Water,345,35,64,85,74,55,32,3,0
367,Huntail,Water,485,55,104,105,94,75,52,3,0
368,Gorebyss,Water,485,55,84,105,114,75,52,3,0
369,Relicanth,WaterRock,485,100,90,130,45,65,55,3,0
370,Luvdisc,Water,330,43,30,55,40,65,97,3,0
371,Bagon,Dragon,300,45,75,60,40,30,50,3,0
372,Shelgon,Dragon,420,65,95,100,60,50,50,3,0
373,Salamence,DragonFlying,600,95,135,80,110,80,100,3,0
373,Mega-Salamence,DragonFlying,700,95,145,130,120,90,120,3,0
374,Beldum,SteelPsychic,300,40,55,80,35,60,30,3,0
375,Metang,SteelPsychic,420,60,75,100,55,80,50,3,0
376,Metagross,SteelPsychic,600,80,135,130,95,90,70,3,0
376,Mega-Metagross,SteelPsychic,700,80,145,150,105,110,110,3,0
377,Regirock,Rock,580,80,100,200,50,100,50,3,1
378,Regice,Ice,580,80,50,100,100,200,50,3,1
379,Registeel,Steel,580,80,75,150,75,150,50,3,1
380,Latias,DragonPsychic,600,80,80,90,110,130,110,3,1
380,Mega-Latias,DragonPsychic,700,80,100,120,140,150,110,3,1
381,Latios,DragonPsychic,600,80,90,80,130,110,110,3,1
381,Mega-Latios,DragonPsychic,700,80,130,100,160,120,110,3,1
382,Kyogre,Water,670,100,100,90,150,140,90,3,1
382,Primal-Kyogre,Water,770,100,150,90,180,160,90,3,1
383,Groudon,Ground,670,100,150,140,100,90,90,3,1
383,Primal-Groudon,GroundFire,770,100,180,160,150,90,90,3,1
384,Rayquaza,DragonFlying,680,105,150,90,150,90,95,3,1
384,Mega-Rayquaza,DragonFlying,780,105,180,100,180,100,115,3,1
385,Jirachi,SteelPsychic,600,100,100,100,100,100,100,3,1
386,Deoxys Normal Form,Psychic,600,50,150,50,150,50,150,3,1
386,Deoxys Attack Form,Psychic,600,50,180,20,180,20,150,3,1
386,Deoxys Defense Form,Psychic,600,50,70,160,70,160,90,3,1
386,Deoxys Speed Form,Psychic,600,50,95,90,95,90,180,3,1
387,Turtwig,Grass,318,55,68,64,45,55,31,4,0
388,Grotle,Grass,405,75,89,85,55,65,36,4,0
389,Torterra,GrassGround,525,95,109,105,75,85,56,4,0
390,Chimchar,Fire,309,44,58,44,58,44,61,4,0
391,Monferno,FireFighting,405,64,78,52,78,52,81,4,0
392,Infernape,FireFighting,534,76,104,71,104,71,108,4,0
393,Piplup,Water,314,53,51,53,61,56,40,4,0
394,Prinplup,Water,405,64,66,68,81,76,50,4,0
395,Empoleon,WaterSteel,530,84,86,88,111,101,60,4,0
